split,class,path,ok,error
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000182180.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000184023.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000221425.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000236761.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000156996.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000230070.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000179585.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000255933.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000244775.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000253284.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000227435.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000209052.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000182416.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000213262.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000234528.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000189994.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000154369.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_ffpp_original_000264401.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000174447.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000252760.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000209502.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000198128.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000189952.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000173899.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000181744.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_ffpp_original_000265015.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000197649.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000166914.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000165674.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000203339.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000166194.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000200583.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000198613.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000237057.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000188199.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000159213.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000258565.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000214710.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000225970.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000169880.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000203157.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000163846.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000228583.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000191958.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000241276.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000239529.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000200931.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000232555.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000178726.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000253866.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000162634.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000159524.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000246587.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000183394.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_ffpp_original_000266270.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000191461.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000163976.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000184040.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000166756.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000203365.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000189965.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000213844.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000242427.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000201350.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000174840.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000202051.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000200097.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000180983.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000248116.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000188524.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000253371.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000250319.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000244481.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000162876.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000237953.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000242303.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000175954.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000225642.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_dri_real_000258446.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000185615.jpg,1,
train,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\real\train_real_cdfv2_real_000174939.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000086101.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000075246.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000060889.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_faceswap_000146807.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000109400.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000115712.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000098512.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000054292.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000115247.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000068015.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000135989.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000126218.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000127225.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000032836.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000055528.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000133230.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000029712.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000131033.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000066857.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000078092.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000060600.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000034180.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000053160.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_faceshifter_000145201.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_faceswap_000149104.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000099853.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_face2face_000140382.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000119612.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000066755.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000053376.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000111423.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000090947.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000077367.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_face2face_000141472.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_faceshifter_000145386.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000109773.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000085654.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000044233.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000060225.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000043808.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000057832.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000123161.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000099091.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000096156.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000059945.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000123426.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000102135.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000081667.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_faceshifter_000143194.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000101997.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000077861.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000072958.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000054253.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000043638.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000092296.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000090198.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000037420.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000124575.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000031680.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_deepfakes_000138381.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000039877.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000045540.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000107754.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000046476.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000129334.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000114706.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000080845.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000103686.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000033831.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000075943.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000075530.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000103618.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000086860.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000094864.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000058460.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_neuraltextures_000152796.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000098024.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_deepfakes_000138339.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_faceswap_000149041.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000027009.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000114680.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000119980.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000040521.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000114867.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_face2face_000141485.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000095893.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000123933.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000060480.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000126255.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000109526.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000070098.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000040127.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000063979.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000082497.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000046237.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000084982.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_cdfv2_fake_000025930.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_neuraltextures_000150533.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_dri_fake_000120160.jpg,1,
train,fake,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\train\fake\train_fake_ffpp_face2face_000140314.jpg,1,
val,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\val\real\val_real_dri_real_000305985.jpg,1,
val,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\val\real\val_real_dri_real_000316379.jpg,1,
val,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\val\real\val_real_dri_real_000301962.jpg,1,
val,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\val\real\val_real_dri_real_000316718.jpg,1,
val,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\val\real\val_real_cdfv2_real_000299226.jpg,1,
val,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\val\real\val_real_dri_real_000307714.jpg,1,
val,real,d:\deepfake_noise_wavelet_ml\data\raw\deepfake_merged_dataset\val\real\val_real_dri_real_000302906.jpg,1,
